StudentId,FirstName,LastName,School,DateOfBirth
1,Tom,Max,Nursing,2005-03-12
2,Ann,Fay,Mining,2004-07-22
3,Joe,Sun,Nursing,2003-11-05
4,Sue,Fox,Computing,2005-01-17
5,Ben,Ray,Mining,2004-08-09
6,Zoe,Cox,Business,2003-05-30
7,Sam,Ray,Mining,2005-12-21
8,Dan,Ash,Medicine,2004-04-10
9,Pat,Lee,Computing,2003-09-14
10,Kim,Day,Nursing,2005-06-19
11,Tim,Rex,Computing,2004-02-03
12,Rob,Ram,Nursing,2003-08-25
13,Jan,Fry,Mining,2005-10-11
14,Jim,Tex,Nursing,2004-12-29
15,Ben,Kid,Business,2003-03-06
16,Mia,Chu,Medicine,2005-05-27
17,Ted,Tao,Computing,2004-07-14
18,Amy,Day,Nursing,2003-11-19
19,Ian,Roy,Nursing,2005-02-07
20,Liz,Kit,Nursing,2004-09-02
21,Mat,Tan,Medicine,2003-06-17
22,Deb,Roy,Medicine,2005-08-25
23,Ana,Ray,Mining,2004-01-09
24,Lyn,Poe,Computing,2003-05-14
25,Amy,Raj,Nursing,2005-12-03
26,Kim,Ash,Mining,2004-04-18
27,Bec,Kid,Nursing,2003-07-29
28,Eva,Fry,Computing,2005-10-21
29,Eli,Lap,Business,2004-02-15
30,Sam,Yim,Nursing,2003-09-07
31,Joe,Hui,Mining,2005-05-03
32,Liz,Jin,Nursing,2004-12-11
33,Ric,Kuo,Business,2003-03-19
34,Pam,Mak,Computing,2005-06-28
35,Cat,Yao,Medicine,2004-08-16
36,Lou,Zhu,Mining,2003-11-23
37,Tom,Dag,Business,2005-02-10
38,Stu,Day,Business,2004-07-05
39,Tom,Gad,Mining,2003-05-27
40,Bob,Bee,Business,2005-09-13
41,Jim,Ots,Business,2004-12-02
42,Tom,Mag,Business,2003-08-20
43,Hal,Doe,Mining,2005-01-30
44,Roy,Kim,Mining,2004-04-24
45,Vis,Cox,Nursing,2003-06-12
46,Kay,Aga,Nursing,2005-10-08
47,Reo,Hui,Nursing,2004-02-28
48,Bob,Roe,Mining,2003-09-18
49,Jay,Eff,Computing,2005-05-15
50,Eva,Chu,Business,2004-07-26
51,Lex,Rae,Nursing,2003-11-02
52,Lin,Dex,Mining,2005-03-21
53,Liz,Dag,Business,2004-06-14
54,Ben,Shy,Computing,2003-08-05
55,Rob,Bos,Nursing,2005-12-29
56,Ali,Mac,Business,2004-01-19
57,Edi,Gee,Computing,2003-05-10
58,Eva,Cao,Mining,2005-07-07
59,Jun,Lam,Computing,2004-09-20
60,Eli,Tao,Computing,2003-02-11
61,Ana,Bay,Computing,2005-04-03
62,Gil,Tal,Mining,2004-06-25
63,Wes,Dey,Nursing,2003-10-13
64,Nea,Tan,Computing,2005-01-05
65,Ava,Day,Nursing,2004-08-18
66,Rie,Ray,Business,2003-03-28
67,Ken,Sim,Nursing,2005-12-14
68,Liz,Kim,Nursing,2004-02-21
69,Max,Fur,Mining,2003-07-09
70,Edi,Kai,Mining,2005-09-02
71,Joe,Sha,Business,2004-05-16
72,Gem,Lin,Nursing,2003-11-25
73,Ama,Kam,Nursing,2005-03-30
74,Zac,Der,Business,2004-06-08
75,Liz,Car,Nursing,2003-01-12
76,Kit,Ngo,Nursing,2005-10-27
77,Tom,Ren,Computing,2004-02-14
78,Kal,Hon,Nursing,2003-09-30
79,Avi,Gil,Business,2005-04-19
80,Ada,Dao,Business,2004-07-11
81,Eva,Kim,Mining,2003-05-23
82,Amy,Kam,Computing,2005-08-05
83,Noa,Sim,Business,2004-11-09
84,Ben,Kai,Computing,2003-12-17
85,Mae,Car,Business,2005-01-23
86,Mae,Der,Mining,2004-03-06
87,Lee,Hon,Business,2003-06-28
88,Gus,Lin,Business,2005-09-15
89,Ava,Bay,Nursing,2004-02-02
90,Ari,Sim,Mining,2003-08-12
91,Kai,Lee,Business,2005-04-27
92,Ali,Doe,Business,2004-05-30
93,Ivy,Kim,Computing,2003-10-18
94,Mia,Sun,Nursing,2005-07-21
95,Lia,Fox,Mining,2004-12-08
96,Ian,Day,Business,2003-01-29
97,Bra,Tan,Computing,2005-02-16
98,Eli,Chu,Business,2004-08-05
99,Max,Cox,Nursing,2003-11-10
100,Ann,Kuo,Business,2005-03-04
101,Liv,Kim,Computing,2004-06-21
102,Jay,Tan,Mining,2003-09-03
103,Ace,Sun,Nursing,2005-12-11
104,Kit,Doe,Business,2004-01-07
105,Kim,Kay,Nursing,2003-05-18
106,Lyn,Bar,Business,2005-10-03
107,Tae,Sae,Computing,2004-07-19
108,Pri,Day,Nursing,2003-02-25
